code,confidence,event_code,fatalities,impact_role,missing_people
commune-muong-pon,C,muong-pon-flash-flood-2024-07-25,,sampling_area,
village-muong-pon-1,B,muong-pon-flash-flood-2024-07-25,,affected_village,
village-muong-pon-2,B,muong-pon-flash-flood-2024-07-25,,affected_village,
village-linh,B,muong-pon-flash-flood-2024-07-25,,affected_village,
village-tin-toc,B,muong-pon-flash-flood-2024-07-25,,affected_village,
commune-xa-dung,C,dien-bien-east-flood-landslide-2025-08-01,,sampling_area,
commune-tia-dinh,C,dien-bien-east-flood-landslide-2025-08-01,,sampling_area,
commune-na-son,C,dien-bien-east-flood-landslide-2025-08-01,,sampling_area,
commune-muong-luan,C,dien-bien-east-flood-landslide-2025-08-01,,reported_area,
commune-pu-nhi,C,dien-bien-east-flood-landslide-2025-08-01,,reported_area,
village-co-de,B,dien-bien-east-flood-landslide-2025-08-01,3,affected_village,
village-hang-pu-xi,B,dien-bien-east-flood-landslide-2025-08-01,,affected_village,2
village-chong-su-a,B,dien-bien-east-flood-landslide-2025-08-01,,affected_village,3
village-tu-xa-b,B,dien-bien-east-flood-landslide-2025-08-01,,affected_village,3
village-tia-dinh-1,B,dien-bien-east-flood-landslide-2025-08-01,,affected_village,
village-tia-dinh-2,B,dien-bien-east-flood-landslide-2025-08-01,,affected_village,
village-tia-mung,B,dien-bien-east-flood-landslide-2025-08-01,,affected_village,
village-suoi-lu-1,B,dien-bien-east-flood-landslide-2025-08-01,,affected_village,
village-suoi-lu-2,B,dien-bien-east-flood-landslide-2025-08-01,,affected_village,
village-na-phat,B,dien-bien-east-flood-landslide-2025-08-01,,affected_village,
village-na-canh,B,dien-bien-east-flood-landslide-2025-08-01,,affected_village,
commune-nam-nen,C,phieng-dat-b-landslide-2022-06,,sampling_area,
site-phieng-dat-b-ql6,B,phieng-dat-b-landslide-2022-06,,reported_site,
